"Model","p","R2","AdjR2","PRESS","AIC","BIC","Cp"
"Intercept Only",1,0,0,9824.21875,222.249079238426,224.686830888163,515.964626470387
"t1",2,0.264618362786219,0.23264524812475,7791.59941135989,216.564937232918,220.221564707523,375.344689414107
"t2",2,0.247014676315411,0.214276183981299,7991.09643080292,217.156340692654,220.812968167258,384.832453717347
"t3",2,0.804724668871879,0.7962344370837,2064.59760300538,183.415460193785,187.072087668389,84.2464959003487
"t4",2,0.75583292861205,0.745216968986487,2548.63489906389,189.001515008455,192.65814248306,110.597414426975
"t1 + t2",3,0.464194838517549,0.415485278382781,6444.04109895653,210.649462021124,215.524965320596,269.780028719294
"t1 + t3",3,0.932995643083098,0.926904337908834,760.974367940704,158.674138411052,163.549641710525,17.1129781976066
"t1 + t4",3,0.815265600004306,0.798471563641061,2109.89668264171,184.028175209112,188.903678508585,80.5653068899102
"t2 + t3",3,0.806073265628031,0.788443562503307,2206.64596232549,185.242208010277,190.11771130975,85.5196499534099
"t2 + t4",3,0.783292290231099,0.763591589343017,2491.79793572369,188.018934413489,192.894437712962,97.7977898488487
"t3 + t4",3,0.877257278301821,0.866098849056532,1449.60012823516,173.80745904426,178.682962343733,47.1539851520175
"t1 + t2 + t3",4,0.934093142367263,0.924677876991158,831.152056013218,160.261259696104,166.355638820445,18.5214649058649
"t1 + t2 + t4",4,0.845358126204182,0.823266429947636,1885.84538413215,181.582996063248,187.677375187589,66.3464997470438
"t1 + t3 + t4",4,0.96154219045074,0.956048217657989,471.451977569572,146.794241877405,152.888621001746,3.72739895858594
"t2 + t3 + t4",4,0.878969756275499,0.861679721457713,1570.56104236168,175.456208826405,181.550587950746,48.2310201005955
"t1 + t2 + t3 + t4",5,0.962891813269866,0.955470175923839,518.988534893312,147.901137560136,155.214392509345,5
